Common Name,Scientific Name
Parish's saltbush,Atriplex parishii
triangle orache,Atriplex prostrata
tumbling saltweed,Atriplex rosea
Australian saltbush,Atriplex semibaccata
bractscale,Atriplex serenana
Davidson's bractscale,Atriplex serenana var. davidsonii
Watson's saltbush,Atriplex watsonii
slender oat,Avena barbata
wild oat,Avena fatua
Neem,Azadirachta indica
Pacific mosquitofern,Azolla filiculoides
saltmarsh baccharis,Baccharis douglasii
Emory's baccharis,Baccharis emoryi
coyotebrush,Baccharis pilularis
mule-fat,Baccharis salicifolia
Barbie Bamboo,Bambusa chungii 'Barbelatta'
Timor Black Bamboo,Bambusa lako
Punting Pole Bamboo,Bambusa tuldoides
Buddha's Belly Bamboo,Bambusa tuldoides 'Ventricosa'
American yellowrocket,Barbarea orthoceras
Malabar Spinach,Basella alba
fivehorn smotherweed,Bassia hyssopifolia
turtleweed,Batis maritima
sweetbush,Bebbia juncea
sweetbush,Bebbia juncea var. aspera
"Begonia, Wax",Begonia semperflorens
Oregon Grape,Berberis aquifolium
cutleaf waterparsnip,Berula erecta
common beet,Beta vulgaris
smooth beggartick,Bidens laevis
hairy beggarticks,Bidens pilosa
Hairy Beggar's Ticks,Bidens pilosa
common goldenstar,Bloomeria crocea
common goldenstar,Bloomeria crocea var. crocea
Parrotweed,Bocconia frutescens
Chinese grass,Boehmeria nivea
Borage,Borage officilalis
cane bluestem,Bothriochloa barbinodis
Great Bougainvillea,Bougainvillea spectabilis
Side Oats Grama,Bouteloua curtipendula
Blue Grama,Bouteloua gracilis
hoary bowlesia,Bowlesia incana
brown mustard,Brassica juncea
black mustard,Brassica nigra
field mustard,Brassica rapa
field mustard,Brassica rapa var. rapa
California brickellbush,Brickellia californica
threadleaf brodiaea,Brodiaea filifolia
chaparral brodiaea,Brodiaea jolonensis
Arizona brome,Bromus arizonicus
California brome,Bromus carinatus
California brome,Bromus carinatus
rescuegrass,Bromus catharticus
ripgut brome,Bromus diandrus
soft brome,Bromus hordeaceus
compact brome,Bromus madritensis
red brome,Bromus rubens
Paper Mulberry,Broussonetia papyrifera
Angel's Trumpet,Brugmansia x candida
Buffalograss,Buchloe dactyloides
Gumbo Limbo,Bursera simaruba
Jelly Palm,Butia capitata
Nance,Byrsonima crassifolia
Byttneria,Byttneria aculeata
Dwarf Ponciana,Caesalpinia pulcherrima
Pigeon Pea,Cajanus cajan
American searocket,Cakile edentula
European searocket,Cakile maritima
fire reedgrass,Calamagrostis koelerioides
fringed redmaids,Calandrinia ciliata
seaside petunia,Calibrachoa parviflora
Red Calliandra,Calliandra calothyrsus
incense cedar,Calocedrus decurrens
white fairy-lantern,Calochortus albus
Santa Catalina mariposa lily,Calochortus catalinae
plain mariposa lily,Calochortus invenustus
Plummer's mariposa lily,Calochortus plummerae
splendid mariposa lily,Calochortus splendens
Weed's mariposa lily,Calochortus weedii
Weed's mariposa lily,Calochortus weedii var. intermedius
Weed's mariposa lily,Calochortus weedii var. weedii
island false bindweed,Calystegia macrostegia
island false bindweed,Calystegia macrostegia ssp. arida
island false bindweed,Calystegia macrostegia ssp. cyclostegia
island false bindweed,Calystegia macrostegia ssp. intermedia
island false bindweed,Calystegia macrostegia ssp. tenuifolia
hedge false bindweed,Calystegia sepium
