Scientific Name,Common Name,Genus,Family,Four o'clock family,Duration,Growth Habit,Fact Sheets,Plant Guides,Characteristics Data,Cultivar Name,Active Growth Period,Bloat,Coppice Potential,Fire Resistance,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Fruit Color,Fruit Conspicuous,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Nitrogen Fixation,Shape and Orientation,Toxicity,Drought Tolerance,Fertility Requirement,Moisture Use,pH (Minimum),pH (Maximum),Salinity Tolerance,Shade Tolerance,Fruit/Seed Period End,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Fuelwood Product,Lumber Product,Naval Store Product,Post Product,Pulpwood Product,Veneer Product
Acroptilon repens,hardheads,Acroptilon,Asteraceae,Aster family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenostoma fasciculatum,chamise,Adenostoma,Rosaceae,Rose family,Perennial,Shrub,,,Yes,,"Fall, Winter and Spring",None,Yes,Yes,White,No,Dark Green,Moderate,Brown,No,10,Yes,Yes,Moderate,None,Semi-Erect,None,High,Low,Medium,4,6,Medium,Intolerant,Fall,No,No,No,,No,No,No,No,No
Adenostoma fasciculatum var. fasciculatum,chamise,Adenostoma,Rosaceae,Rose family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegilops incurva,,Aegilops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnorhiza ovata,southern mule-ears,Agnorhiza,Asteraceae,Aster family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agoseris grandiflora,bigflower agoseris,Agoseris,Asteraceae,Aster family,Perennial,Forb/herb,,../plantguide/pdf/pg_aggr.pdf,Yes,,Spring,None,No,No,Yellow,Yes,Green,Porous,Brown,No,1.8,No,No,Short,None,Prostrate,None,Medium,Medium,Medium,5.8,7.3,None,Intolerant,Summer,No,No,No,,No,No,No,No,No
Agoseris grandiflora var. leptophylla,,Agoseris,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agoseris laciniata,,Agoseris,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agoseris plebeja,,Agoseris,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agropyron repens,,Agropyron,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agropyron repens var. subulatum,,Agropyron,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostemma coronaria,,Agrostemma,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis airoides,,Agrostis,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis alba var. palustris,,Agrostis,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis alba var. stolonifera,,Agrostis,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis maritima,,Agrostis,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis miliacea,,Agrostis,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis palustris,,Agrostis,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis semiverticillata,,Agrostis,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis stolonifera,creeping bentgrass,Agrostis,Poaceae,Grass family,Perennial,Graminoid,,,Yes,,Spring and Summer,None,No,No,Purple,No,Green,Moderate,Brown,No,2,No,No,Short,None,Erect,None,Low,High,High,5.1,7.5,High,Intolerant,Summer,No,No,Yes,,No,No,No,No,No
Agrostis stolonifera,creeping bentgrass,Agrostis,Poaceae,Grass family,Perennial,Graminoid,,,Yes,Lopez,Spring,None,No,No,Yellow,No,Green,Moderate,Brown,No,2,No,No,Short,None,Erect,None,Low,High,High,5,7.5,High,Intolerant,Summer,No,No,No,,No,No,No,No,No
Agrostis stolonifera,creeping bentgrass,Agrostis,Poaceae,Grass family,Perennial,Graminoid,,,Yes,Penncross,Spring and Summer,None,No,No,Purple,No,Green,Moderate,Brown,No,2,No,No,Short,None,Erect,None,Low,High,High,5.1,7.5,High,Intolerant,Summer,No,No,Yes,,No,No,No,No,No
Agrostis stolonifera,creeping bentgrass,Agrostis,Poaceae,Grass family,Perennial,Graminoid,,,Yes,Pennlinks,Spring,None,No,No,Yellow,No,Green,Moderate,Brown,No,2,No,No,Short,None,Erect,None,Low,High,High,5,7.5,High,Intolerant,Summer,No,No,No,,No,No,No,No,No
