Scientific Name,Common Name,Genus,Family,Four o'clock family,Duration,Growth Habit,Fact Sheets,Plant Guides,Characteristics Data,Cultivar Name,Active Growth Period,Bloat,Coppice Potential,Fire Resistance,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Fruit Color,Fruit Conspicuous,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Nitrogen Fixation,Shape and Orientation,Toxicity,Drought Tolerance,Fertility Requirement,Moisture Use,pH (Minimum),pH (Maximum),Salinity Tolerance,Shade Tolerance,Fruit/Seed Period End,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Fuelwood Product,Lumber Product,Naval Store Product,Post Product,Pulpwood Product,Veneer Product
Lepechinia cardiophylla,Santa Ana pitchersage,Lepechinia,Lamiaceae,Mint family,Perennial,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidanthus suaveolens,,Lepidanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium appelianum,,Lepidium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium didymum,,Lepidium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium draba,,Lepidium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium draba ssp. chalepense,,Lepidium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium draba ssp. draba,,Lepidium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium lasiocarpum,shaggyfruit pepperweed,Lepidium,Brassicaceae,Mustard family,"Annual, Biennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium lasiocarpum var. georginum,,Lepidium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium lasiocarpum var. lasiocarpum,shaggyfruit pepperweed,Lepidium,Brassicaceae,Mustard family,"Annual, Biennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium lasiocarpum var. rotundum,,Lepidium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium lasiocarpum var. typicum,,Lepidium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium latifolium,broadleaved pepperweed,Lepidium,Brassicaceae,Mustard family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium medium var. pubescens,,Lepidium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium nitidum,shining pepperweed,Lepidium,Brassicaceae,Mustard family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium nitidum var. insigne,,Lepidium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium nitidum var. nitidum,shining pepperweed,Lepidium,Brassicaceae,Mustard family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium repens,,Lepidium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium virginicum,Virginia pepperweed,Lepidium,Brassicaceae,Mustard family,"Annual, Biennial, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium virginicum var. pubescens,hairy pepperweed,Lepidium,Brassicaceae,Mustard family,"Annual, Biennial, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium virginicum var. robinsonii,Robinson's pepperweed,Lepidium,Brassicaceae,Mustard family,"Annual, Biennial, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidospartum squamatum,California broomsage,Lepidospartum,Asteraceae,Aster family,Perennial,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidospartum squamatum var. palmeri,,Lepidospartum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidotheca suaveolens,,Lepidotheca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptilon bonariense,,Leptilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptilon linifolium,,Leptilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptochloa fusca,Malabar sprangletop,Leptochloa,Poaceae,Grass family,"Annual, Perennial",Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptochloa fusca ssp. uninervia,Mexican sprangletop,Leptochloa,Poaceae,Grass family,"Annual, Perennial",Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptochloa uninervia,,Leptochloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptodactylon californicum,California prickly phlox,Leptodactylon,Polemoniaceae,Phlox family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptodactylon californicum ssp. glandulosum,,Leptodactylon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptodactylon californicum ssp. leptotrichomum,California prickly phlox,Leptodactylon,Polemoniaceae,Phlox family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptosiphon ciliatus,whiskerbrush,Leptosiphon,Polemoniaceae,Phlox family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptosiphon ciliatus ssp. ciliatus,whiskerbrush,Leptosiphon,Polemoniaceae,Phlox family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptosiphon floribundum,many-flower linanthus,Leptosiphon,Polemoniaceae,Phlox family,Perennial,"Forb/herb, Subshrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptosiphon floribundum ssp. floribundum,manyflower linanthus,Leptosiphon,Polemoniaceae,Phlox family,Perennial,"Forb/herb, Subshrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptosiphon floribundum ssp. glaber,manyflower linanthus,Leptosiphon,Polemoniaceae,Phlox family,Perennial,"Forb/herb, Subshrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptosiphon floribundus,,Leptosiphon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptosiphon floribundus ssp. floribundus,,Leptosiphon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptosiphon floribundus ssp. glaber,,Leptosiphon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptosiphon liniflorus,narrowflower flaxflower,Leptosiphon,Polemoniaceae,Phlox family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptosyne gigantea,,Leptosyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepturus cylindricus,,Lepturus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lessingia filaginifolia,,Lessingia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leymus condensatus,giant wildrye,Leymus,Poaceae,Grass family,Perennial,Graminoid,,,Yes,,Spring and Summer,None,No,No,Yellow,No,Dark Green,Dense,Brown,No,8.5,No,No,Long,None,Erect,None,Low,Medium,High,6.5,7.9,Low,Intolerant,Summer,No,No,Yes,,No,No,No,No,No
Leymus triticoides,beardless wildrye,Leymus,Poaceae,Grass family,Perennial,Graminoid,,../plantguide/pdf/pg_letr5.pdf,Yes,,"Spring, Summer, Fall",None,No,No,Yellow,No,Green,Moderate,Brown,No,3,No,No,Long,None,Erect,None,High,Medium,High,6,9,High,Intolerant,Summer,No,No,Yes,,No,No,No,No,No
Leymus triticoides,beardless wildrye,Leymus,Poaceae,Grass family,Perennial,Graminoid,,../plantguide/pdf/pg_letr5.pdf,Yes,Rio,"Spring, Summer, Fall",None,No,No,Yellow,No,Green,Moderate,Brown,No,3,No,No,Long,None,Erect,None,High,Medium,High,6,9,High,Intolerant,Summer,No,No,Yes,,No,No,No,No,No
Leymus triticoides,beardless wildrye,Leymus,Poaceae,Grass family,Perennial,Graminoid,,../plantguide/pdf/pg_letr5.pdf,Yes,Shoshone,"Spring, Summer, Fall",None,No,No,Yellow,No,Green,Dense,Brown,No,3,No,No,Long,None,Erect,None,High,Medium,Low,6.6,9,High,Intolerant,Summer,No,No,Yes,,No,No,No,No,No
Libocedrus decurrens,,Libocedrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilium fairchildii,,Lilium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilium humboldtii,Humboldt lily,Lilium,Liliaceae,Lily family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilium humboldtii ssp. ocellatum,Humboldt's lily,Lilium,Liliaceae,Lily family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilium humboldtii var. bloomerianum,,Lilium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilium humboldtii var. ocellatum,,Lilium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limnia perfoliata,,Limnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limonium binervosum,rock sea-lavender,Limonium,Plumbaginaceae,Leadwort family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limonium californicum,marsh rosemary,Limonium,Plumbaginaceae,Leadwort family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limonium californicum var. mexicanum,,Limonium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limonium mexicanum,,Limonium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limonium perezii,Perez's sea lavender,Limonium,Plumbaginaceae,Leadwort family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linanthastrum floribundum,,Linanthastrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linanthastrum nuttallii ssp. floribundum,,Linanthastrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linanthus ciliatus,,Linanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linanthus ciliatus var. ciliatus,,Linanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linanthus dianthiflorus,fringed linanthus,Linanthus,Polemoniaceae,Phlox family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linanthus dianthiflorus ssp. dianthiflorus,,Linanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linanthus dianthiflorus ssp. farinosus,,Linanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linanthus floribundus,,Linanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linanthus floribundus ssp. floribundus,,Linanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linanthus floribundus ssp. glaber,,Linanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linanthus floribundus ssp. glabrus,,Linanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linanthus liniflorus,,Linanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linanthus liniflorus ssp. liniflorus,,Linanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linanthus liniflorus ssp. pharnaceoides,,Linanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linanthus liniflorus var. pharnaceoides,,Linanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linanthus nuttallii ssp. floribundus,,Linanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linanthus pharnaceoides,,Linanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linaria bipartita,clovenlip toadflax,Linaria,Scrophulariaceae,Figwort family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linaria canadensis,,Linaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linaria canadensis var. texana,,Linaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linaria cymbalaria,,Linaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linaria elatine,,Linaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linaria maroccana,Moroccan toadflax,Linaria,Scrophulariaceae,Figwort family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linaria pinifolia,pineneedle toadflax,Linaria,Scrophulariaceae,Figwort family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linaria texana,,Linaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindernia anagallidea,,Lindernia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindernia dubia,yellowseed false pimpernel,Lindernia,Scrophulariaceae,Figwort family,"Annual, Biennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindernia dubia var. anagallidea,yellowseed false pimpernel,Lindernia,Scrophulariaceae,Figwort family,"Annual, Biennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linum humile,,Linum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linum usitatissimum,common flax,Linum,Linaceae,Flax family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linum usitatissimum var. humile,,Linum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lippia lanceolata,,Lippia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lippia lanceolata var. recognita,,Lippia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithophragma affine,San Francisco woodland-star,Lithophragma,Saxifragaceae,Saxifrage family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithophragma affine ssp. affine,San Francisco woodland-star,Lithophragma,Saxifragaceae,Saxifrage family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithophragma cymbalaria,mission woodland-star,Lithophragma,Saxifragaceae,Saxifrage family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobularia maritima,sweet alyssum,Lobularia,Brassicaceae,Mustard family,"Annual, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loeflingia pusilla,,Loeflingia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loeflingia ramosissima,,Loeflingia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loeflingia squarrosa,spreading pygmyleaf,Loeflingia,Caryophyllaceae,Pink family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loeflingia squarrosa ssp. squarrosa,spreading pygmyleaf,Loeflingia,Caryophyllaceae,Pink family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loeflingia squarrosa var. squarrosa,,Loeflingia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loeflingia squarrosa var. texana,,Loeflingia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loeflingia texana,,Loeflingia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logfia arizonica,Arizona cottonrose,Logfia,Asteraceae,Aster family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logfia californica,California cottonrose,Logfia,Asteraceae,Aster family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolium arvense,,Lolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolium multiflorum,,Lolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolium multiflorum ssp. italicum,,Lolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolium multiflorum var. diminutum,,Lolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolium multiflorum var. muticum,,Lolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolium perenne,perennial ryegrass,Lolium,Poaceae,Grass family,"Perennial, Annual",Graminoid,../factsheet/pdf/fs_lope.pdf,,Yes,,Spring and Fall,None,No,No,Yellow,No,Green,Moderate,Brown,No,3.5,No,No,Short,None,Erect,None,Low,High,High,5,8,High,Intolerant,Summer,No,No,Yes,,No,No,No,No,No
Lolium perenne,perennial ryegrass,Lolium,Poaceae,Grass family,"Perennial, Annual",Graminoid,../factsheet/pdf/fs_lope.pdf,,Yes,Calypso,"Spring, Summer, Fall",None,No,No,Yellow,No,Dark Green,Dense,Brown,No,2.3,No,No,Moderate,None,Erect,None,Low,High,High,5.2,7.5,Medium,Intolerant,Summer,No,No,No,,No,No,No,No,No
Lolium perenne,perennial ryegrass,Lolium,Poaceae,Grass family,"Perennial, Annual",Graminoid,../factsheet/pdf/fs_lope.pdf,,Yes,Cutless,"Spring, Summer, Fall",None,No,No,Yellow,No,Dark Green,Dense,Brown,No,1.9,No,No,Moderate,None,Erect,None,Low,High,High,5.2,7.5,Medium,Intolerant,Summer,No,No,No,,No,No,No,No,No
Lolium perenne,perennial ryegrass,Lolium,Poaceae,Grass family,"Perennial, Annual",Graminoid,../factsheet/pdf/fs_lope.pdf,,Yes,Manhatten ll,Spring and Fall,None,No,No,Yellow,No,Green,Dense,Brown,No,2.5,No,No,Moderate,None,Erect,None,Medium,High,Medium,5,7.5,Medium,Intolerant,Summer,No,No,No,,No,No,No,No,No
Lolium perenne,perennial ryegrass,Lolium,Poaceae,Grass family,"Perennial, Annual",Graminoid,../factsheet/pdf/fs_lope.pdf,,Yes,Regency,"Spring, Summer, Fall",None,No,No,Yellow,No,Dark Green,Dense,Brown,No,2.3,No,No,Moderate,None,Erect,None,Low,High,High,5.2,7.5,Medium,Intolerant,Summer,No,No,No,,No,No,No,No,No
Lolium perenne,perennial ryegrass,Lolium,Poaceae,Grass family,"Perennial, Annual",Graminoid,../factsheet/pdf/fs_lope.pdf,,Yes,Envy,"Spring, Summer, Fall",None,No,No,Yellow,No,Green,Dense,Brown,No,1.3,No,No,Moderate,None,Erect,None,Low,High,High,5.2,7.5,Medium,Intolerant,Summer,No,No,No,,No,No,No,No,No
Lolium perenne,perennial ryegrass,Lolium,Poaceae,Grass family,"Perennial, Annual",Graminoid,../factsheet/pdf/fs_lope.pdf,,Yes,Gettysburg,"Spring, Summer, Fall",None,No,No,Yellow,No,Dark Green,Dense,Brown,No,1.5,No,No,Moderate,None,Erect,None,Low,High,High,5.2,7.5,Medium,Intolerant,Summer,No,No,No,,No,No,No,No,No
Lolium perenne,perennial ryegrass,Lolium,Poaceae,Grass family,"Perennial, Annual",Graminoid,../factsheet/pdf/fs_lope.pdf,,Yes,All*Star,"Spring, Summer, Fall",None,No,No,Yellow,No,Green,Moderate,Brown,No,2.3,No,No,Moderate,None,Erect,None,Low,High,High,5.2,7.5,Medium,Intolerant,Summer,No,No,No,,No,No,No,No,No
Lolium perenne,perennial ryegrass,Lolium,Poaceae,Grass family,"Perennial, Annual",Graminoid,../factsheet/pdf/fs_lope.pdf,,Yes,Cowboy,"Spring, Summer, Fall",None,No,No,Yellow,No,Green,Porous,Brown,No,2.3,No,No,Moderate,None,Erect,None,Low,High,High,5.2,7.5,Medium,Intolerant,Summer,No,No,No,,No,No,No,No,No
Lolium perenne,perennial ryegrass,Lolium,Poaceae,Grass family,"Perennial, Annual",Graminoid,../factsheet/pdf/fs_lope.pdf,,Yes,Dandy,"Spring, Summer, Fall",None,No,No,Yellow,No,Green,Porous,Brown,No,2.3,No,No,Moderate,None,Erect,None,Low,High,High,5.2,7.5,Medium,Intolerant,Summer,No,No,No,,No,No,No,No,No
Lolium perenne,perennial ryegrass,Lolium,Poaceae,Grass family,"Perennial, Annual",Graminoid,../factsheet/pdf/fs_lope.pdf,,Yes,Darby Supreme,"Spring, Summer, Fall",None,No,No,Yellow,No,Green,Porous,Brown,No,2.3,No,No,Moderate,None,Erect,None,Low,High,High,5.2,7.5,Medium,Intolerant,Summer,No,No,No,,No,No,No,No,No
Lolium perenne,perennial ryegrass,Lolium,Poaceae,Grass family,"Perennial, Annual",Graminoid,../factsheet/pdf/fs_lope.pdf,,Yes,Linn,Spring and Fall,None,No,No,Yellow,No,Green,Dense,Brown,No,3,No,No,Short,None,Erect,None,Low,High,High,5.2,7.5,High,Intermediate,Summer,No,No,Yes,,No,No,No,No,No
Lolium perenne,perennial ryegrass,Lolium,Poaceae,Grass family,"Perennial, Annual",Graminoid,../factsheet/pdf/fs_lope.pdf,,Yes,Norlea,"Spring, Summer, Fall",None,No,No,Yellow,No,Green,Dense,Brown,No,3,No,No,Moderate,None,Erect,None,Low,High,High,5.2,7.5,Medium,Intolerant,Summer,No,No,Yes,,No,No,No,No,No
Lolium perenne,perennial ryegrass,Lolium,Poaceae,Grass family,"Perennial, Annual",Graminoid,../factsheet/pdf/fs_lope.pdf,,Yes,Assure,"Spring, Summer, Fall",None,No,No,Yellow,No,Dark Green,Dense,Brown,No,2.3,No,No,Moderate,None,Erect,None,Low,High,High,5.2,7.5,Medium,Intolerant,Summer,No,No,No,,No,No,No,No,No
Lolium perenne,perennial ryegrass,Lolium,Poaceae,Grass family,"Perennial, Annual",Graminoid,../factsheet/pdf/fs_lope.pdf,,Yes,Goalie,"Spring, Summer, Fall",None,No,No,Yellow,No,Dark Green,Dense,Brown,No,1.9,No,No,Moderate,None,Erect,None,Low,High,High,5.2,7.5,Medium,Intolerant,Summer,No,No,No,,No,No,No,No,No
Lolium perenne,perennial ryegrass,Lolium,Poaceae,Grass family,"Perennial, Annual",Graminoid,../factsheet/pdf/fs_lope.pdf,,Yes,Pennfine,"Spring, Summer, Fall",None,No,No,Yellow,No,Green,Porous,Brown,No,2.3,No,No,Moderate,None,Erect,None,Low,High,High,5.2,7.5,Medium,Intolerant,Summer,No,No,No,,No,No,No,No,No
Lolium perenne ssp. italicum,,Lolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolium perenne ssp. multiflorum,Italian ryegrass,Lolium,Poaceae,Grass family,"Annual, Perennial",Graminoid,../factsheet/pdf/fs_lopem2.pdf,,Yes,,Spring and Summer,None,No,No,Yellow,No,Green,Moderate,Brown,No,2.5,No,No,Short,None,Erect,None,Low,Medium,Medium,5,7.9,High,Intermediate,Spring,No,No,Yes,,No,No,No,No,No
Lolium perenne ssp. multiflorum,Italian ryegrass,Lolium,Poaceae,Grass family,"Annual, Perennial",Graminoid,../factsheet/pdf/fs_lopem2.pdf,,Yes,Magnolia,"Fall, Winter and Spring",None,No,No,Yellow,No,Green,Porous,Brown,No,2.6,No,No,Short,None,Erect,None,Low,Medium,Medium,5,7.5,High,Intermediate,Spring,No,No,Yes,,No,No,No,No,No
Lolium perenne ssp. multiflorum,Italian ryegrass,Lolium,Poaceae,Grass family,"Annual, Perennial",Graminoid,../factsheet/pdf/fs_lopem2.pdf,,Yes,Tam-90,"Fall, Winter and Spring",None,No,No,Yellow,No,Green,Porous,Brown,No,3,No,No,Short,None,Erect,None,Low,Medium,Medium,5,7.9,High,Intermediate,Spring,No,No,Yes,,No,No,No,No,No
Lolium perenne ssp. multiflorum,Italian ryegrass,Lolium,Poaceae,Grass family,"Annual, Perennial",Graminoid,../factsheet/pdf/fs_lopem2.pdf,,Yes,Georgia Reseeding,"Fall, Winter and Spring",None,No,No,Yellow,No,Green,Porous,Brown,No,2.5,No,No,Short,None,Erect,None,Low,Medium,Medium,5,7.9,High,Intermediate,Spring,No,No,Yes,,No,No,No,No,No
Lolium perenne ssp. multiflorum,Italian ryegrass,Lolium,Poaceae,Grass family,"Annual, Perennial",Graminoid,../factsheet/pdf/fs_lopem2.pdf,,Yes,Marshell,"Fall, Winter and Spring",None,No,No,Yellow,No,Green,Porous,Brown,No,2.2,No,No,Short,None,Erect,None,Low,Medium,Medium,5,7.9,High,Intermediate,Spring,No,No,Yes,,No,No,No,No,No
Lolium perenne var. aristatum,,Lolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolium perenne var. multiflorum,,Lolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolium temulentum,Darnel ryegrass,Lolium,Poaceae,Grass family,Annual,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolium temulentum ssp. temulentum,Darnel ryegrass,Lolium,Poaceae,Grass family,Annual,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolium temulentum var. arvense,,Lolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolium temulentum var. leptochaeton,,Lolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolium temulentum var. macrochaeton,,Lolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lomatium dasycarpum,woollyfruit desertparsley,Lomatium,Apiaceae,Carrot family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lomatium dasycarpum ssp. dasycarpum,woollyfruit desertparsley,Lomatium,Apiaceae,Carrot family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lomatium lucidum,shiny biscuitroot,Lomatium,Apiaceae,Carrot family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lomatium utriculatum,common lomatium,Lomatium,Apiaceae,Carrot family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
