Scientific Name,Common Name,Genus,Family,Family Common Name,Duration,Growth Habit,Fact Sheets,Plant Guides,Characteristics Data,Cultivar Name,Active Growth Period,Bloat,Coppice Potential,Fire Resistance,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Fruit Color,Fruit Conspicuous,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Nitrogen Fixation,Shape and Orientation,Toxicity,Drought Tolerance,Fertility Requirement,Moisture Use,pH (Minimum),pH (Maximum),Salinity Tolerance,Shade Tolerance,Fruit/Seed Period End,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Fuelwood Product,Lumber Product,Naval Store Product,Post Product,Pulpwood Product,Veneer Product
Cordylanthus,bird's-beak,Cordylanthus,Scrophulariaceae,Figwort family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordylanthus maritimus,saltmarsh bird's-beak,Cordylanthus,Scrophulariaceae,Figwort family,Annual,Forb/herb,,,Yes,,Summer,None,No,No,Purple,Yes,Gray-Green,Porous,Brown,No,1.7,No,No,,None,Semi-Erect,None,Low,Low,Medium,6.5,9,High,Intolerant,Summer,No,No,No,,No,No,No,No,No
Chloropyron maritimum,,Chloropyron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordylanthus maritimus ssp. maritimus,saltmarsh bird's-beak,Cordylanthus,Scrophulariaceae,Figwort family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordylanthus rigidus,stiffbranch bird's beak,Cordylanthus,Scrophulariaceae,Figwort family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordylanthus rigidus ssp. setigerus,stiffbranch bird's beak,Cordylanthus,Scrophulariaceae,Figwort family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coreopsis,tickseed,Coreopsis,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coreopsis gigantea,giant coreopsis,Coreopsis,Asteraceae,Aster family,Perennial,"Subshrub, Shrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptosyne gigantea,,Leptosyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuckermannia gigantea,,Tuckermannia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne,sandaster,Corethrogyne,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne filaginifolia,common sandaster,Corethrogyne,Asteraceae,Aster family,Perennial,"Forb/herb, Subshrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne filaginifolia var. filaginifolia,common sandaster,Corethrogyne,Asteraceae,Aster family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne filaginifolia var. bernardina,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne filaginifolia var. brevicula,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne filaginifolia var. glomerata,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne filaginifolia var. hamiltonensis,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne filaginifolia var. incana,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne filaginifolia var. latifolia,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne filaginifolia var. linifolia,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne filaginifolia var. peirsonii,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne filaginifolia var. pinetorum,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne filaginifolia var. rigida,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne filaginifolia var. robusta,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne filaginifolia var. sessilis,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne filaginifolia var. virgata,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne filaginifolia var. viscidula,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne flagellaris,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne floccosa,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne incana,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne leucophylla,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne linifolia,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne scabra,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne sessilis,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne tomentella,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne viscidula,,Corethrogyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lessingia filaginifolia,,Lessingia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coriandrum,coriander,Coriandrum,Apiaceae,Carrot family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coriandrum sativum,coriander,Coriandrum,Apiaceae,Carrot family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus,dogwood,Cornus,Cornaceae,Dogwood family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus sericea,redosier dogwood,Cornus,Cornaceae,Dogwood family,Perennial,"Tree, Shrub",,../plantguide/pdf/cs_cose16.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus sericea ssp. sericea,redosier dogwood,Cornus,Cornaceae,Dogwood family,Perennial,"Tree, Shrub",../factsheet/pdf/fs_coses.pdf,../plantguide/pdf/cs_coses.pdf,Yes,,Spring and Summer,None,No,No,White,Yes,Green,Moderate,White,Yes,12,No,No,Moderate,None,Semi-Erect,None,Low,Low,High,4.8,7.5,None,Intolerant,Summer,No,No,No,,No,No,No,No,No
Cornus sericea ssp. sericea,redosier dogwood,Cornus,Cornaceae,Dogwood family,Perennial,"Tree, Shrub",../factsheet/pdf/fs_coses.pdf,../plantguide/pdf/cs_coses.pdf,Yes,Ruby,Spring and Summer,None,No,No,White,Yes,Green,Dense,White,Yes,5,No,No,Long,Medium,Semi-Erect,None,Medium,Medium,Medium,4.8,7,Medium,Intermediate,Summer,No,No,No,,No,No,No,No,No
Cornus alba,,Cornus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus alba ssp. stolonifera,,Cornus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus alba var. baileyi,,Cornus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus alba var. interior,,Cornus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus alba var. sibirica,,Cornus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus baileyi,,Cornus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus instolonea,,Cornus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus interior,,Cornus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus sericea ssp. stolonifera,,Cornus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus sericea var. interior,,Cornus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus stolonifera,,Cornus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus stolonifera var. baileyi,,Cornus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus stolonifera var. coloradensis,,Cornus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus stolonifera var. interior,,Cornus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus stolonifera var. stolonifera,,Cornus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swida instolonea,,Swida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swida sericea,,Swida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swida stolonifera,,Swida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronopus,swinecress,Coronopus,Brassicaceae,Mustard family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronopus didymus,lesser swinecress,Coronopus,Brassicaceae,Mustard family,"Annual, Biennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carara didyma,,Carara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium didymum,,Lepidium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cortaderia,pampas grass,Cortaderia,Poaceae,Grass family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cortaderia selloana,Uruguayan pampas grass,Cortaderia,Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cortaderia selloana,Uruguayan pampas grass,Cortaderia,Poaceae,Grass family,Perennial,Graminoid,,,Yes,Pumila,Summer,None,No,No,Yellow,No,Green,Dense,White,Yes,9,No,No,Moderate,None,Erect,None,Low,Low,Medium,4.9,7.4,Low,Intolerant,Fall,No,No,No,,No,No,No,No,No
Cortaderia selloana,Uruguayan pampas grass,Cortaderia,Poaceae,Grass family,Perennial,Graminoid,,,Yes,Silver comet,Summer,None,No,No,Yellow,No,White-Gray,Dense,White,Yes,5,No,No,Moderate,None,Erect,None,Low,Low,Medium,4.9,7.4,Low,Intolerant,Fall,No,No,No,,No,No,No,No,No
Cortaderia dioica,,Cortaderia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotula,waterbuttons,Cotula,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotula australis,Australian waterbuttons,Cotula,Asteraceae,Aster family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotula coronopifolia,common brassbuttons,Cotula,Asteraceae,Aster family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotyledon,pig's ear,Cotyledon,Crassulaceae,Stonecrop family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotyledon orbiculata,pig's ear,Cotyledon,Crassulaceae,Stonecrop family,Perennial,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotyledon orbiculata var. oblongata,pig's ear,Cotyledon,Crassulaceae,Stonecrop family,Perennial,"Shrub, Subshrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crassula,pygmyweed,Crassula,Crassulaceae,Stonecrop family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crassula aquatica,water pygmyweed,Crassula,Crassulaceae,Stonecrop family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulliarda aquatica,,Bulliarda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrophila aquatica,,Hydrophila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tillaea angustifolia,,Tillaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tillaea aquatica,,Tillaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tillaea ascendens,,Tillaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tillaeastrum aquaticum,,Tillaeastrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crassula connata,sand pygmyweed,Crassula,Crassulaceae,Stonecrop family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crassula connata var. connata,sand pygmyweed,Crassula,Crassulaceae,Stonecrop family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crassula erecta,,Crassula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tillaea erecta,,Tillaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tillaea minima,,Tillaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tillaea minima,,Tillaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tillaea rubescens,,Tillaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crassula connata var. erectoides,sand pygmyweed,Crassula,Crassulaceae,Stonecrop family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cressa,alkaliweed,Cressa,Convolvulaceae,Morning-glory family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cressa truxillensis,spreading alkaliweed,Cressa,Convolvulaceae,Morning-glory family,Perennial,"Subshrub, Forb/herb",,,Yes,,Summer,None,No,No,White,Yes,Gray-Green,Porous,Brown,No,0.8,No,No,Moderate,None,Decumbent,None,Low,Low,Medium,6.8,9.2,High,Intolerant,Summer,No,No,No,,No,No,No,No,No
Cressa depressa,,Cressa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cressa insularis,,Cressa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cressa truxillensis var. minima,,Cressa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cressa truxillensis var. vallicola,,Cressa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croton,croton,Croton,Euphorbiaceae,Spurge family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croton californicus,California croton,Croton,Euphorbiaceae,Spurge family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croton californicus var. californicus,California croton,Croton,Euphorbiaceae,Spurge family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croton californicus var. longipes,,Croton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croton californicus var. mohavensis,,Croton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croton longipes,,Croton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croton californicus var. tenuis,California croton,Croton,Euphorbiaceae,Spurge family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croton setigerus,dove weed,Croton,Euphorbiaceae,Spurge family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eremocarpus setigerus,,Eremocarpus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crypsis,pricklegrass,Crypsis,Poaceae,Grass family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crypsis schoenoides,swamp pricklegrass,Crypsis,Poaceae,Grass family,Annual,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heleochloa schoenoides,,Heleochloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crypsis vaginiflora,modest prickle grass,Crypsis,Poaceae,Grass family,Annual,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crypsis aculeata,,Crypsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crypsis niliacea,,Crypsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptantha,cryptantha,Cryptantha,Boraginaceae,Borage family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptantha flaccida,weakstem cryptantha,Cryptantha,Boraginaceae,Borage family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptantha rostellata,,Cryptantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptantha rostellata var. spithamea,,Cryptantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptantha intermedia,Clearwater cryptantha,Cryptantha,Boraginaceae,Borage family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptantha barbigera var. fergusoniae,,Cryptantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptantha fragilis,,Cryptantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptantha grandiflora,,Cryptantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptantha hendersonii,,Cryptantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptantha intermedia var. grandiflora,,Cryptantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptantha leiocarpa,coastal cryptantha,Cryptantha,Boraginaceae,Borage family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptantha microstachys,Tejon cryptantha,Cryptantha,Boraginaceae,Borage family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptantha muricata,pointed cryptantha,Cryptantha,Boraginaceae,Borage family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptantha muricata var. denticulata,,Cryptantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptantha muricata var. jonesii,,Cryptantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptantha muricata var. muricata,,Cryptantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cucurbita,gourd,Cucurbita,Cucurbitaceae,Cucumber family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cucurbita digitata,fingerleaf gourd,Cucurbita,Cucurbitaceae,Cucumber family,Perennial,"Vine, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cucurbita foetidissima,Missouri gourd,Cucurbita,Cucurbitaceae,Cucumber family,Perennial,"Vine, Forb/herb",,,Yes,,Spring and Summer,None,No,No,Yellow,Yes,Green,Porous,Yellow,Yes,1,No,No,Moderate,None,Prostrate,None,High,Low,Low,7,8.8,Low,Intolerant,Fall,No,No,Yes,,No,No,No,No,No
Pepo foetidissima,,Pepo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuscuta,dodder,Cuscuta,Cuscutaceae,Dodder family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuscuta californica,chaparral dodder,Cuscuta,Cuscutaceae,Dodder family,Perennial,"Vine, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuscuta ceanothi,canyon dodder,Cuscuta,Cuscutaceae,Dodder family,Annual,"Vine, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuscuta subinclusa,,Cuscuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuscuta salina,saltmarsh dodder,Cuscuta,Cuscutaceae,Dodder family,Perennial,"Vine, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuscuta salina var. major,goldenthread,Cuscuta,Cuscutaceae,Dodder family,Perennial,"Vine, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuscuta salina var. papillata,goldenthread,Cuscuta,Cuscutaceae,Dodder family,Perennial,"Vine, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanopsis,knapweed,Cyanopsis,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanopsis muricata,Morocco knapweed,Cyanopsis,Asteraceae,Aster family,"Annual, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaurea muricata,,Centaurea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycloloma,cycloloma,Cycloloma,Chenopodiaceae,Goosefoot family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycloloma atriplicifolium,winged pigweed,Cycloloma,Chenopodiaceae,Goosefoot family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kochia atriplicifolia,,Kochia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cylindropuntia,cholla,Cylindropuntia,Cactaceae,Cactus family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cylindropuntia californica,California cholla,Cylindropuntia,Cactaceae,Cactus family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cylindropuntia californica var. parkeri,brownspined pricklypear,Cylindropuntia,Cactaceae,Cactus family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opuntia californica var. parkeri,,Opuntia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opuntia echinocarpa var. parkeri,,Opuntia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opuntia parryi,,Opuntia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cylindropuntia prolifera,coastal cholla,Cylindropuntia,Cactaceae,Cactus family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opuntia prolifera,,Opuntia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cymbalaria,cymbalaria,Cymbalaria,Scrophulariaceae,Figwort family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cymbalaria muralis,Kenilworth ivy,Cymbalaria,Scrophulariaceae,Figwort family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linaria cymbalaria,,Linaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cynara,cynara,Cynara,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cynara cardunculus,cardoon,Cynara,Asteraceae,Aster family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cynodon,Bermudagrass,Cynodon,Poaceae,Grass family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cynodon dactylon,Bermudagrass,Cynodon,Poaceae,Grass family,Perennial,Graminoid,../factsheet/pdf/fs_cyda.pdf,,Yes,,"Spring, Summer, Fall",Low,No,Yes,Yellow,No,Green,Moderate,Brown,No,1.4,Yes,No,Long,None,Prostrate,None,Medium,High,High,5,8,High,Intolerant,Summer,No,No,Yes,,No,No,No,No,No
Cynodon dactylon,Bermudagrass,Cynodon,Poaceae,Grass family,Perennial,Graminoid,../factsheet/pdf/fs_cyda.pdf,,Yes,Callie,Summer,None,No,No,,No,Green,Moderate,,No,1.5,Yes,No,Moderate,None,Decumbent,None,High,High,Medium,5.5,7.5,Medium,Intolerant,,No,No,Yes,,No,No,No,No,No
Cynodon dactylon,Bermudagrass,Cynodon,Poaceae,Grass family,Perennial,Graminoid,../factsheet/pdf/fs_cyda.pdf,,Yes,Coastal,Summer and Fall,None,No,Yes,,No,Green,Moderate,,No,1.3,Yes,No,Long,None,Prostrate,None,Medium,High,High,5,8,High,Intolerant,,No,No,Yes,,No,No,No,No,No
Cynodon dactylon,Bermudagrass,Cynodon,Poaceae,Grass family,Perennial,Graminoid,../factsheet/pdf/fs_cyda.pdf,,Yes,Midland,Summer,None,No,No,,No,Green,Moderate,,No,1.5,Yes,No,Moderate,None,Decumbent,None,High,High,Medium,5.5,7.5,Medium,Intolerant,,No,No,Yes,,No,No,No,No,No
Cynodon dactylon,Bermudagrass,Cynodon,Poaceae,Grass family,Perennial,Graminoid,../factsheet/pdf/fs_cyda.pdf,,Yes,Santa Ana,Summer,None,No,No,,No,Green,Porous,,No,0.4,Yes,No,Moderate,None,Prostrate,None,High,High,Medium,6,8,High,Intolerant,,No,No,No,,No,No,No,No,No
Cynodon dactylon,Bermudagrass,Cynodon,Poaceae,Grass family,Perennial,Graminoid,../factsheet/pdf/fs_cyda.pdf,,Yes,Coastcross-1,Summer,None,No,No,,No,Green,Moderate,,No,1.4,Yes,No,Moderate,None,Decumbent,None,High,High,Medium,5.5,7.5,Medium,Intolerant,,No,No,Yes,,No,No,No,No,No
Cynodon dactylon,Bermudagrass,Cynodon,Poaceae,Grass family,Perennial,Graminoid,../factsheet/pdf/fs_cyda.pdf,,Yes,Tifway,Summer,None,No,No,,No,Green,Porous,,No,0.8,Yes,No,Moderate,None,Prostrate,None,High,High,Medium,5.5,7.5,High,Intolerant,,No,No,No,,No,No,No,No,No
