Scientific Name,Common Name,Genus,Family,Family Common Name,Duration,Growth Habit,Fact Sheets,Plant Guides,Characteristics Data,Cultivar Name,Active Growth Period,Bloat,Coppice Potential,Fire Resistance,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Fruit Color,Fruit Conspicuous,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Nitrogen Fixation,Shape and Orientation,Toxicity,Drought Tolerance,Fertility Requirement,Moisture Use,pH (Minimum),pH (Maximum),Salinity Tolerance,Shade Tolerance,Fruit/Seed Period End,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Fuelwood Product,Lumber Product,Naval Store Product,Post Product,Pulpwood Product,Veneer Product
Amaranthus blitoides,mat amaranth,Amaranthus,Amaranthaceae,Amaranth family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus graecizans,,Amaranthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus deflexus,largefruit amaranth,Amaranthus,Amaranthaceae,Amaranth family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus hybridus,slim amaranth,Amaranthus,Amaranthaceae,Amaranth family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus chlorostachys,,Amaranthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus incurvatus,,Amaranthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus patulus,,Amaranthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus palmeri,carelessweed,Amaranthus,Amaranthaceae,Amaranth family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus retroflexus,redroot amaranth,Amaranthus,Amaranthaceae,Amaranth family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus retroflexus var. salicifolius,,Amaranthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amblyopappus pusillus,dwarf coastweed,Amblyopappus,Asteraceae,Aster family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia,ragweed,Ambrosia,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia acanthicarpa,flatspine bur ragweed,Ambrosia,Asteraceae,Aster family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franseria acanthicarpa,,Franseria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaertneria acanthicarpa,,Gaertneria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia chamissonis,silver bur ragweed,Ambrosia,Asteraceae,Aster family,Perennial,"Subshrub, Shrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia chamissonis var. bipinnatisecta,,Ambrosia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franseria chamissonis,,Franseria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franseria chamissonis ssp. bipinnatisecta,,Franseria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franseria chamissonis var. bipinnatisecta,,Franseria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia psilostachya,Cuman ragweed,Ambrosia,Asteraceae,Aster family,"Annual, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia californica,,Ambrosia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia coronopifolia,,Ambrosia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia cumanensis,,Ambrosia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia psilostachya var. californica,,Ambrosia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia psilostachya var. coronopifolia,,Ambrosia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia psilostachya var. lindheimeriana,,Ambrosia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia rugelii,,Ambrosia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia trifida,great ragweed,Ambrosia,Asteraceae,Aster family,Annual,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia trifida var. trifida,great ragweed,Ambrosia,Asteraceae,Aster family,Annual,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia trifida var. integrifolia,,Ambrosia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammannia,redstem,Ammannia,Lythraceae,Loosestrife family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammannia coccinea,valley redstem,Ammannia,Lythraceae,Loosestrife family,Annual,"Forb/herb, Subshrub",,,Yes,,Spring,None,No,No,Purple,Yes,Green,Porous,,No,1.6,No,No,,None,Erect,None,Medium,Medium,Medium,4,5.9,Low,Intolerant,Fall,No,No,No,,No,No,No,No,No
Ammannia coccinea ssp. purpurea,,Ammannia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammannia teres,,Ammannia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammannia robusta,grand redstem,Ammannia,Lythraceae,Loosestrife family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammannia coccinea ssp. robusta,,Ammannia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludwigia scabriuscula,,Ludwigia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammi,ammi,Ammi,Apiaceae,Carrot family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
